question_text,user_id,response
1. What are you looking for?,04229861-0fc8-4362-9109-c2832f772b07,Women's Styles
4. Which colors do you like?,0516b1c4-b295-4145-b720-519c78e64c98,Tortoise
3. How old are you?,0516b1c4-b295-4145-b720-519c78e64c98,Square
2. What's your fit?,0516b1c4-b295-4145-b720-519c78e64c98,I'm not sure. Let's skip it.
1. What are you looking for?,0516b1c4-b295-4145-b720-519c78e64c98,Women's Styles
5. When was your last eye exam?,0516b1c4-b295-4145-b720-519c78e64c98,Not Sure. Let's Skip It
2. What's your fit?,05cdbba3-eaba-4242-a236-be4cebb61607,I'm not sure. Let's skip it.
4. Which colors do you like?,05cdbba3-eaba-4242-a236-be4cebb61607,Crystal
3. How old are you?,05cdbba3-eaba-4242-a236-be4cebb61607,No Preference
5. When was your last eye exam?,05cdbba3-eaba-4242-a236-be4cebb61607,<1 Year
1. What are you looking for?,05cdbba3-eaba-4242-a236-be4cebb61607,Women's Styles
1. What are you looking for?,060bfab3-adde-42ae-9ba0-abe966f5bc6e,Men's Styles
5. When was your last eye exam?,060bfab3-adde-42ae-9ba0-abe966f5bc6e,Not Sure. Let's Skip It
4. Which colors do you like?,060bfab3-adde-42ae-9ba0-abe966f5bc6e,Crystal
2. What's your fit?,060bfab3-adde-42ae-9ba0-abe966f5bc6e,Narrow
3. How old are you?,060bfab3-adde-42ae-9ba0-abe966f5bc6e,Round
2. What's your fit?,06c3cc9f-3852-45e0-896c-5d7cd22fbc10,Narrow
3. How old are you?,06c3cc9f-3852-45e0-896c-5d7cd22fbc10,Rectangular
1. What are you looking for?,06c3cc9f-3852-45e0-896c-5d7cd22fbc10,Women's Styles
4. Which colors do you like?,073bebc7-5aad-4277-8ca7-19dfac9e165e,Crystal
2. What's your fit?,073bebc7-5aad-4277-8ca7-19dfac9e165e,Narrow
3. How old are you?,073bebc7-5aad-4277-8ca7-19dfac9e165e,Round
1. What are you looking for?,073bebc7-5aad-4277-8ca7-19dfac9e165e,I'm not sure. Let's skip it.
5. When was your last eye exam?,073bebc7-5aad-4277-8ca7-19dfac9e165e,<1 Year
4. Which colors do you like?,075ab2fd-0e94-43b2-97ee-d254a36be303,Crystal
2. What's your fit?,075ab2fd-0e94-43b2-97ee-d254a36be303,Narrow
1. What are you looking for?,075ab2fd-0e94-43b2-97ee-d254a36be303,Men's Styles
3. How old are you?,075ab2fd-0e94-43b2-97ee-d254a36be303,Rectangular
5. When was your last eye exam?,0992f9a1-50f8-4dde-bc2c-88c41a7f825a,Not Sure. Let's Skip It
4. Which colors do you like?,0992f9a1-50f8-4dde-bc2c-88c41a7f825a,Two-Tone
2. What's your fit?,0992f9a1-50f8-4dde-bc2c-88c41a7f825a,Narrow
1. What are you looking for?,0992f9a1-50f8-4dde-bc2c-88c41a7f825a,Women's Styles
3. How old are you?,0992f9a1-50f8-4dde-bc2c-88c41a7f825a,No Preference
1. What are you looking for?,0ae0fde7-f46f-4695-a5dc-4c25b49b5258,Men's Styles
3. How old are you?,0ae0fde7-f46f-4695-a5dc-4c25b49b5258,Round
2. What's your fit?,0ae0fde7-f46f-4695-a5dc-4c25b49b5258,Medium
5. When was your last eye exam?,0ae0fde7-f46f-4695-a5dc-4c25b49b5258,1-3 Years
4. Which colors do you like?,0ae0fde7-f46f-4695-a5dc-4c25b49b5258,Black
2. What's your fit?,0b8aebed-f854-49c3-9bb1-f4dfba5d0e9f,Narrow
5. When was your last eye exam?,0b8aebed-f854-49c3-9bb1-f4dfba5d0e9f,1-3 Years
3. How old are you?,0b8aebed-f854-49c3-9bb1-f4dfba5d0e9f,Square
4. Which colors do you like?,0b8aebed-f854-49c3-9bb1-f4dfba5d0e9f,Black
1. What are you looking for?,0b8aebed-f854-49c3-9bb1-f4dfba5d0e9f,Men's Styles
3. How old are you?,0d874f03-3299-434e-9279-ffb667355341,Rectangular
2. What's your fit?,0d874f03-3299-434e-9279-ffb667355341,Medium
5. When was your last eye exam?,0d874f03-3299-434e-9279-ffb667355341,<1 Year
1. What are you looking for?,0d874f03-3299-434e-9279-ffb667355341,I'm not sure. Let's skip it.
4. Which colors do you like?,0d874f03-3299-434e-9279-ffb667355341,Black
4. Which colors do you like?,0e2a3c17-0448-474e-b036-981f7faa7662,Neutral
3. How old are you?,0e2a3c17-0448-474e-b036-981f7faa7662,No Preference
1. What are you looking for?,0e2a3c17-0448-474e-b036-981f7faa7662,Men's Styles
2. What's your fit?,0e2a3c17-0448-474e-b036-981f7faa7662,Narrow
4. Which colors do you like?,0ed1d65c-fa2e-43f2-80d0-ff542d9d349b,Crystal
5. When was your last eye exam?,0ed1d65c-fa2e-43f2-80d0-ff542d9d349b,<1 Year
2. What's your fit?,0ed1d65c-fa2e-43f2-80d0-ff542d9d349b,Wide
1. What are you looking for?,0ed1d65c-fa2e-43f2-80d0-ff542d9d349b,Men's Styles
3. How old are you?,0ed1d65c-fa2e-43f2-80d0-ff542d9d349b,Rectangular
4. Which colors do you like?,0efc9532-05e2-4dc2-ade9-73e94419ac60,Black
3. How old are you?,0efc9532-05e2-4dc2-ade9-73e94419ac60,No Preference
1. What are you looking for?,0efc9532-05e2-4dc2-ade9-73e94419ac60,Men's Styles
5. When was your last eye exam?,0efc9532-05e2-4dc2-ade9-73e94419ac60,1-3 Years
2. What's your fit?,0efc9532-05e2-4dc2-ade9-73e94419ac60,Medium
3. How old are you?,0ff3bab5-bb47-44ea-95f3-84cf4bcd9eac,Square
1. What are you looking for?,0ff3bab5-bb47-44ea-95f3-84cf4bcd9eac,Women's Styles
5. When was your last eye exam?,0ff3bab5-bb47-44ea-95f3-84cf4bcd9eac,<1 Year
2. What's your fit?,0ff3bab5-bb47-44ea-95f3-84cf4bcd9eac,I'm not sure. Let's skip it.
4. Which colors do you like?,0ff3bab5-bb47-44ea-95f3-84cf4bcd9eac,Black
3. How old are you?,10276783-2047-48cb-9ff8-a373cbadc0ea,Rectangular
1. What are you looking for?,10276783-2047-48cb-9ff8-a373cbadc0ea,Women's Styles
4. Which colors do you like?,10276783-2047-48cb-9ff8-a373cbadc0ea,Black
2. What's your fit?,10276783-2047-48cb-9ff8-a373cbadc0ea,Medium
5. When was your last eye exam?,10276783-2047-48cb-9ff8-a373cbadc0ea,<1 Year
1. What are you looking for?,1049426f-9331-45e6-97b2-45059320b60d,Women's Styles
3. How old are you?,1049426f-9331-45e6-97b2-45059320b60d,Rectangular
4. Which colors do you like?,1049426f-9331-45e6-97b2-45059320b60d,Black
2. What's your fit?,1049426f-9331-45e6-97b2-45059320b60d,I'm not sure. Let's skip it.
1. What are you looking for?,106c3639-3657-454e-8d63-58f8a6fbe084,Men's Styles
2. What's your fit?,106c3639-3657-454e-8d63-58f8a6fbe084,Medium
3. How old are you?,106c3639-3657-454e-8d63-58f8a6fbe084,No Preference
4. Which colors do you like?,106c3639-3657-454e-8d63-58f8a6fbe084,Tortoise
4. Which colors do you like?,10f99491-96e2-4cf3-85c1-ba110f25cc0d,Neutral
2. What's your fit?,10f99491-96e2-4cf3-85c1-ba110f25cc0d,Medium
5. When was your last eye exam?,10f99491-96e2-4cf3-85c1-ba110f25cc0d,<1 Year
1. What are you looking for?,10f99491-96e2-4cf3-85c1-ba110f25cc0d,Men's Styles
3. How old are you?,10f99491-96e2-4cf3-85c1-ba110f25cc0d,Square
2. What's your fit?,12f47fab-fc3e-4c7c-904e-93fef3e168a5,Wide
1. What are you looking for?,12f47fab-fc3e-4c7c-904e-93fef3e168a5,Women's Styles
1. What are you looking for?,13ff462b-3bd8-421e-a19f-b3522f5ee898,Women's Styles
3. How old are you?,13ff462b-3bd8-421e-a19f-b3522f5ee898,Rectangular
4. Which colors do you like?,13ff462b-3bd8-421e-a19f-b3522f5ee898,Black
2. What's your fit?,13ff462b-3bd8-421e-a19f-b3522f5ee898,Medium
5. When was your last eye exam?,13ff462b-3bd8-421e-a19f-b3522f5ee898,<1 Year
3. How old are you?,14784b5d-06d3-4c47-9f80-ce78c3f14caa,Square
4. Which colors do you like?,14784b5d-06d3-4c47-9f80-ce78c3f14caa,Black
5. When was your last eye exam?,14784b5d-06d3-4c47-9f80-ce78c3f14caa,<1 Year
1. What are you looking for?,14784b5d-06d3-4c47-9f80-ce78c3f14caa,I'm not sure. Let's skip it.
2. What's your fit?,14784b5d-06d3-4c47-9f80-ce78c3f14caa,I'm not sure. Let's skip it.
1. What are you looking for?,1485e883-16b3-499d-bfec-242c55e4be63,Women's Styles
1. What are you looking for?,15464518-3ba3-476e-907b-841fec63ccf5,Women's Styles
4. Which colors do you like?,15464518-3ba3-476e-907b-841fec63ccf5,Two-Tone
3. How old are you?,15464518-3ba3-476e-907b-841fec63ccf5,Rectangular
2. What's your fit?,15464518-3ba3-476e-907b-841fec63ccf5,Narrow
5. When was your last eye exam?,15464518-3ba3-476e-907b-841fec63ccf5,<1 Year
2. What's your fit?,1557ba16-00ef-40fe-963b-d8a937c1ab74,Medium
1. What are you looking for?,1557ba16-00ef-40fe-963b-d8a937c1ab74,Men's Styles
3. How old are you?,158482bd-bd04-4d4e-a077-08564266c1a1,Round
1. What are you looking for?,158482bd-bd04-4d4e-a077-08564266c1a1,Men's Styles
4. Which colors do you like?,158482bd-bd04-4d4e-a077-08564266c1a1,Black
2. What's your fit?,158482bd-bd04-4d4e-a077-08564266c1a1,Wide
5. When was your last eye exam?,158482bd-bd04-4d4e-a077-08564266c1a1,<1 Year
1. What are you looking for?,163112e7-14d2-4691-a465-fda0f3fa338c,Men's Styles
2. What's your fit?,163112e7-14d2-4691-a465-fda0f3fa338c,Narrow
1. What are you looking for?,16a07a0e-f02d-4054-ac8c-3ecb6b27ce0b,I'm not sure. Let's skip it.
4. Which colors do you like?,16a07a0e-f02d-4054-ac8c-3ecb6b27ce0b,Tortoise
2. What's your fit?,16a07a0e-f02d-4054-ac8c-3ecb6b27ce0b,Medium
3. How old are you?,16a07a0e-f02d-4054-ac8c-3ecb6b27ce0b,Rectangular
2. What's your fit?,178916d3-2b7d-4f5c-8d66-f96c1b455142,Narrow
4. Which colors do you like?,178916d3-2b7d-4f5c-8d66-f96c1b455142,Neutral
1. What are you looking for?,178916d3-2b7d-4f5c-8d66-f96c1b455142,Women's Styles
5. When was your last eye exam?,178916d3-2b7d-4f5c-8d66-f96c1b455142,<1 Year
3. How old are you?,178916d3-2b7d-4f5c-8d66-f96c1b455142,Rectangular
1. What are you looking for?,189ad748-39be-444a-b191-e773c8170f46,Men's Styles
2. What's your fit?,189ad748-39be-444a-b191-e773c8170f46,Narrow
1. What are you looking for?,18bcaf50-0f09-4822-86d5-3e74d653912e,I'm not sure. Let's skip it.
1. What are you looking for?,18c97ad6-80e4-4e46-82b4-9ea8be188206,Men's Styles
3. How old are you?,18c97ad6-80e4-4e46-82b4-9ea8be188206,Rectangular
5. When was your last eye exam?,18c97ad6-80e4-4e46-82b4-9ea8be188206,<1 Year
2. What's your fit?,18c97ad6-80e4-4e46-82b4-9ea8be188206,I'm not sure. Let's skip it.
4. Which colors do you like?,18c97ad6-80e4-4e46-82b4-9ea8be188206,Tortoise
2. What's your fit?,19f90cca-c081-4385-9c71-9de803a43289,Wide
5. When was your last eye exam?,19f90cca-c081-4385-9c71-9de803a43289,<1 Year
4. Which colors do you like?,19f90cca-c081-4385-9c71-9de803a43289,Tortoise
3. How old are you?,19f90cca-c081-4385-9c71-9de803a43289,Square
1. What are you looking for?,19f90cca-c081-4385-9c71-9de803a43289,I'm not sure. Let's skip it.
3. How old are you?,1a6b9669-82a8-42bb-9607-7278c6ec5fbd,Square
4. Which colors do you like?,1a6b9669-82a8-42bb-9607-7278c6ec5fbd,Neutral
1. What are you looking for?,1a6b9669-82a8-42bb-9607-7278c6ec5fbd,I'm not sure. Let's skip it.
2. What's your fit?,1a6b9669-82a8-42bb-9607-7278c6ec5fbd,I'm not sure. Let's skip it.
2. What's your fit?,1a72c13f-4328-4d35-8a13-485263314b79,Medium
3. How old are you?,1a72c13f-4328-4d35-8a13-485263314b79,Rectangular
5. When was your last eye exam?,1a72c13f-4328-4d35-8a13-485263314b79,<1 Year
1. What are you looking for?,1a72c13f-4328-4d35-8a13-485263314b79,I'm not sure. Let's skip it.
4. Which colors do you like?,1a72c13f-4328-4d35-8a13-485263314b79,Black
4. Which colors do you like?,1b0bb5ed-f45b-4019-afe8-fbff8aa53696,Black
5. When was your last eye exam?,1b0bb5ed-f45b-4019-afe8-fbff8aa53696,<1 Year
1. What are you looking for?,1b0bb5ed-f45b-4019-afe8-fbff8aa53696,Men's Styles
3. How old are you?,1b0bb5ed-f45b-4019-afe8-fbff8aa53696,Round
2. What's your fit?,1b0bb5ed-f45b-4019-afe8-fbff8aa53696,Medium
1. What are you looking for?,1bba61ec-7b07-4de1-8071-6e4812e7fdd9,Women's Styles
2. What's your fit?,1bba61ec-7b07-4de1-8071-6e4812e7fdd9,Wide
2. What's your fit?,1be72f52-ae46-44c7-b4c7-441c58f94013,Narrow
4. Which colors do you like?,1be72f52-ae46-44c7-b4c7-441c58f94013,Crystal
1. What are you looking for?,1be72f52-ae46-44c7-b4c7-441c58f94013,I'm not sure. Let's skip it.
3. How old are you?,1be72f52-ae46-44c7-b4c7-441c58f94013,Round
5. When was your last eye exam?,1be72f52-ae46-44c7-b4c7-441c58f94013,1-3 Years
1. What are you looking for?,1cff640b-4257-4610-8c8a-c8067200d317,Women's Styles
3. How old are you?,1cff640b-4257-4610-8c8a-c8067200d317,Round
4. Which colors do you like?,1cff640b-4257-4610-8c8a-c8067200d317,Black
2. What's your fit?,1cff640b-4257-4610-8c8a-c8067200d317,Medium
2. What's your fit?,1d214c42-0969-4d7a-a1b9-ef58ed915f2a,Wide
3. How old are you?,1d214c42-0969-4d7a-a1b9-ef58ed915f2a,Rectangular
4. Which colors do you like?,1d214c42-0969-4d7a-a1b9-ef58ed915f2a,Tortoise
1. What are you looking for?,1d214c42-0969-4d7a-a1b9-ef58ed915f2a,Women's Styles
2. What's your fit?,1d82ec14-a3a8-4728-b17f-e030397b53de,Narrow
1. What are you looking for?,1d82ec14-a3a8-4728-b17f-e030397b53de,Women's Styles
4. Which colors do you like?,1d82ec14-a3a8-4728-b17f-e030397b53de,Neutral
3. How old are you?,1d82ec14-a3a8-4728-b17f-e030397b53de,Square
5. When was your last eye exam?,1d82ec14-a3a8-4728-b17f-e030397b53de,3+ Years
1. What are you looking for?,1db4dfa6-369f-4f79-8d94-dd857ae1ef56,Men's Styles
2. What's your fit?,1db4dfa6-369f-4f79-8d94-dd857ae1ef56,Medium
1. What are you looking for?,1db710d1-fdf8-4efe-8728-6120c1af6113,Men's Styles
4. Which colors do you like?,1db710d1-fdf8-4efe-8728-6120c1af6113,Tortoise
3. How old are you?,1db710d1-fdf8-4efe-8728-6120c1af6113,Square
5. When was your last eye exam?,1db710d1-fdf8-4efe-8728-6120c1af6113,1-3 Years
2. What's your fit?,1db710d1-fdf8-4efe-8728-6120c1af6113,Wide
3. How old are you?,1ee649a1-948a-45d9-b111-69f95678da93,Rectangular
1. What are you looking for?,1ee649a1-948a-45d9-b111-69f95678da93,I'm not sure. Let's skip it.
4. Which colors do you like?,1ee649a1-948a-45d9-b111-69f95678da93,Neutral
2. What's your fit?,1ee649a1-948a-45d9-b111-69f95678da93,Wide
1. What are you looking for?,20b5f77c-36cb-4203-b6bf-213452ae2cd6,Women's Styles
1. What are you looking for?,21b62c5d-8016-4471-bea1-ce55bfdbee49,Men's Styles
2. What's your fit?,21b62c5d-8016-4471-bea1-ce55bfdbee49,Medium
5. When was your last eye exam?,2275972d-16e0-4c84-b53a-dfecf83b71d7,3+ Years
1. What are you looking for?,2275972d-16e0-4c84-b53a-dfecf83b71d7,Women's Styles
4. Which colors do you like?,2275972d-16e0-4c84-b53a-dfecf83b71d7,Crystal
2. What's your fit?,2275972d-16e0-4c84-b53a-dfecf83b71d7,Wide
3. How old are you?,2275972d-16e0-4c84-b53a-dfecf83b71d7,Rectangular
5. When was your last eye exam?,2296c74b-8cc9-4219-9073-32975b8da545,<1 Year
1. What are you looking for?,2296c74b-8cc9-4219-9073-32975b8da545,Men's Styles
3. How old are you?,2296c74b-8cc9-4219-9073-32975b8da545,No Preference
4. Which colors do you like?,2296c74b-8cc9-4219-9073-32975b8da545,Crystal
2. What's your fit?,2296c74b-8cc9-4219-9073-32975b8da545,Medium
2. What's your fit?,23291751-1953-45e3-9f91-7ae3718c8b27,Narrow
4. Which colors do you like?,23291751-1953-45e3-9f91-7ae3718c8b27,Black
3. How old are you?,23291751-1953-45e3-9f91-7ae3718c8b27,Rectangular
1. What are you looking for?,23291751-1953-45e3-9f91-7ae3718c8b27,Men's Styles
5. When was your last eye exam?,23291751-1953-45e3-9f91-7ae3718c8b27,<1 Year
1. What are you looking for?,234a4af1-99f3-4f05-ac2f-1957067f658e,Women's Styles
3. How old are you?,234a4af1-99f3-4f05-ac2f-1957067f658e,Round
2. What's your fit?,234a4af1-99f3-4f05-ac2f-1957067f658e,Narrow
4. Which colors do you like?,234a4af1-99f3-4f05-ac2f-1957067f658e,Crystal
5. When was your last eye exam?,24c082af-584e-4fbc-83cd-1c6862a691fb,1-3 Years
3. How old are you?,24c082af-584e-4fbc-83cd-1c6862a691fb,Square
1. What are you looking for?,24c082af-584e-4fbc-83cd-1c6862a691fb,Women's Styles
4. Which colors do you like?,24c082af-584e-4fbc-83cd-1c6862a691fb,Black
2. What's your fit?,24c082af-584e-4fbc-83cd-1c6862a691fb,Medium
3. How old are you?,2507a35d-6f68-4c38-b22a-c387620e1a81,Rectangular
4. Which colors do you like?,2507a35d-6f68-4c38-b22a-c387620e1a81,Two-Tone
5. When was your last eye exam?,2507a35d-6f68-4c38-b22a-c387620e1a81,3+ Years
2. What's your fit?,2507a35d-6f68-4c38-b22a-c387620e1a81,Medium
1. What are you looking for?,2507a35d-6f68-4c38-b22a-c387620e1a81,Men's Styles
4. Which colors do you like?,25990d24-fb7f-4561-b382-5310c5131258,Crystal
1. What are you looking for?,25990d24-fb7f-4561-b382-5310c5131258,Men's Styles
5. When was your last eye exam?,25990d24-fb7f-4561-b382-5310c5131258,1-3 Years
2. What's your fit?,25990d24-fb7f-4561-b382-5310c5131258,Narrow
3. How old are you?,25990d24-fb7f-4561-b382-5310c5131258,Rectangular
2. What's your fit?,262c91cb-25e6-4cc4-9b45-9f9c1f22bcb1,Medium
3. How old are you?,262c91cb-25e6-4cc4-9b45-9f9c1f22bcb1,Round
4. Which colors do you like?,262c91cb-25e6-4cc4-9b45-9f9c1f22bcb1,Tortoise
1. What are you looking for?,262c91cb-25e6-4cc4-9b45-9f9c1f22bcb1,Men's Styles
1. What are you looking for?,26628936-d965-4e8f-98e8-88bc99e53b0d,Women's Styles
3. How old are you?,26628936-d965-4e8f-98e8-88bc99e53b0d,Square
4. Which colors do you like?,26628936-d965-4e8f-98e8-88bc99e53b0d,Tortoise
5. When was your last eye exam?,26628936-d965-4e8f-98e8-88bc99e53b0d,Not Sure. Let's Skip It
2. What's your fit?,26628936-d965-4e8f-98e8-88bc99e53b0d,Narrow
1. What are you looking for?,267f0e7b-683b-4132-b117-4050eb06df19,Women's Styles
5. When was your last eye exam?,267f0e7b-683b-4132-b117-4050eb06df19,1-3 Years
4. Which colors do you like?,267f0e7b-683b-4132-b117-4050eb06df19,Neutral
3. How old are you?,267f0e7b-683b-4132-b117-4050eb06df19,Round
2. What's your fit?,267f0e7b-683b-4132-b117-4050eb06df19,Narrow
1. What are you looking for?,276c99d0-bda0-4cf0-8385-280b643a7929,Women's Styles
2. What's your fit?,276c99d0-bda0-4cf0-8385-280b643a7929,Narrow
3. How old are you?,276c99d0-bda0-4cf0-8385-280b643a7929,Rectangular
4. Which colors do you like?,276c99d0-bda0-4cf0-8385-280b643a7929,Two-Tone
2. What's your fit?,2774f17a-f5c1-4ce5-a0ba-30c5116f38fe,Wide
5. When was your last eye exam?,2774f17a-f5c1-4ce5-a0ba-30c5116f38fe,3+ Years
1. What are you looking for?,2774f17a-f5c1-4ce5-a0ba-30c5116f38fe,Men's Styles
4. Which colors do you like?,2774f17a-f5c1-4ce5-a0ba-30c5116f38fe,Two-Tone
3. How old are you?,2774f17a-f5c1-4ce5-a0ba-30c5116f38fe,Rectangular
2. What's your fit?,27f4f4fb-e20b-494b-8beb-b82918b3f2af,Narrow
5. When was your last eye exam?,27f4f4fb-e20b-494b-8beb-b82918b3f2af,<1 Year
3. How old are you?,27f4f4fb-e20b-494b-8beb-b82918b3f2af,Square
1. What are you looking for?,27f4f4fb-e20b-494b-8beb-b82918b3f2af,Men's Styles
4. Which colors do you like?,27f4f4fb-e20b-494b-8beb-b82918b3f2af,Neutral
1. What are you looking for?,282406a4-1f61-4d27-aab4-26ccaeb8fb3e,Men's Styles
2. What's your fit?,282406a4-1f61-4d27-aab4-26ccaeb8fb3e,Narrow
3. How old are you?,282406a4-1f61-4d27-aab4-26ccaeb8fb3e,Square
1. What are you looking for?,28f10db4-0257-4c6a-910a-1d8173bb979e,Men's Styles
4. Which colors do you like?,290390f4-b502-4eef-ad37-e30b94f56874,Crystal
5. When was your last eye exam?,290390f4-b502-4eef-ad37-e30b94f56874,Not Sure. Let's Skip It
2. What's your fit?,290390f4-b502-4eef-ad37-e30b94f56874,Wide
1. What are you looking for?,290390f4-b502-4eef-ad37-e30b94f56874,I'm not sure. Let's skip it.
3. How old are you?,290390f4-b502-4eef-ad37-e30b94f56874,No Preference
1. What are you looking for?,2a62c585-7a4c-4e36-84f5-b0a78ec2c5a4,Men's Styles
2. What's your fit?,2a62c585-7a4c-4e36-84f5-b0a78ec2c5a4,Medium
5. When was your last eye exam?,2a62c585-7a4c-4e36-84f5-b0a78ec2c5a4,Not Sure. Let's Skip It
3. How old are you?,2a62c585-7a4c-4e36-84f5-b0a78ec2c5a4,Rectangular
4. Which colors do you like?,2a62c585-7a4c-4e36-84f5-b0a78ec2c5a4,Tortoise
4. Which colors do you like?,2a6d607b-ad30-4e9c-a4da-352f2dfc9884,Black
1. What are you looking for?,2a6d607b-ad30-4e9c-a4da-352f2dfc9884,Women's Styles
2. What's your fit?,2a6d607b-ad30-4e9c-a4da-352f2dfc9884,Narrow
3. How old are you?,2a6d607b-ad30-4e9c-a4da-352f2dfc9884,Square
5. When was your last eye exam?,2a7f8393-ddf8-4b86-90db-3bcaf3d0c2b9,<1 Year
4. Which colors do you like?,2a7f8393-ddf8-4b86-90db-3bcaf3d0c2b9,Tortoise
1. What are you looking for?,2a7f8393-ddf8-4b86-90db-3bcaf3d0c2b9,Women's Styles
2. What's your fit?,2a7f8393-ddf8-4b86-90db-3bcaf3d0c2b9,Narrow
3. How old are you?,2a7f8393-ddf8-4b86-90db-3bcaf3d0c2b9,Square
4. Which colors do you like?,2b61bff1-d24a-4f98-a738-6ad568990127,Tortoise
3. How old are you?,2b61bff1-d24a-4f98-a738-6ad568990127,Rectangular
1. What are you looking for?,2b61bff1-d24a-4f98-a738-6ad568990127,Men's Styles
2. What's your fit?,2b61bff1-d24a-4f98-a738-6ad568990127,Narrow
5. When was your last eye exam?,2b61bff1-d24a-4f98-a738-6ad568990127,1-3 Years
3. How old are you?,2baa672e-7305-49c8-a8ce-8467f8828ced,Square
1. What are you looking for?,2baa672e-7305-49c8-a8ce-8467f8828ced,Women's Styles
5. When was your last eye exam?,2baa672e-7305-49c8-a8ce-8467f8828ced,<1 Year
2. What's your fit?,2baa672e-7305-49c8-a8ce-8467f8828ced,Medium
4. Which colors do you like?,2baa672e-7305-49c8-a8ce-8467f8828ced,Neutral
1. What are you looking for?,2bc3ffcb-3839-4bf8-9e51-6292a65f8fe8,Women's Styles
4. Which colors do you like?,2c0f8092-693d-4a87-beaf-7db1bc8f9efc,Crystal
2. What's your fit?,2c0f8092-693d-4a87-beaf-7db1bc8f9efc,Narrow
1. What are you looking for?,2c0f8092-693d-4a87-beaf-7db1bc8f9efc,Men's Styles
5. When was your last eye exam?,2c0f8092-693d-4a87-beaf-7db1bc8f9efc,<1 Year
3. How old are you?,2c0f8092-693d-4a87-beaf-7db1bc8f9efc,Rectangular
3. How old are you?,2c17e2f9-7cde-4ec3-aa66-2f360f2f2d7b,Rectangular
1. What are you looking for?,2c17e2f9-7cde-4ec3-aa66-2f360f2f2d7b,Women's Styles
2. What's your fit?,2c17e2f9-7cde-4ec3-aa66-2f360f2f2d7b,Narrow
5. When was your last eye exam?,2c17e2f9-7cde-4ec3-aa66-2f360f2f2d7b,3+ Years
4. Which colors do you like?,2c17e2f9-7cde-4ec3-aa66-2f360f2f2d7b,Tortoise
3. How old are you?,2c391a47-1a36-405c-b635-06cd747f2a41,Square
1. What are you looking for?,2c391a47-1a36-405c-b635-06cd747f2a41,Men's Styles
2. What's your fit?,2c391a47-1a36-405c-b635-06cd747f2a41,Medium
4. Which colors do you like?,2c391a47-1a36-405c-b635-06cd747f2a41,Neutral
2. What's your fit?,2c9dcf3d-fe7e-43fa-bece-b56ea0c1cff2,Narrow
1. What are you looking for?,2c9dcf3d-fe7e-43fa-bece-b56ea0c1cff2,Women's Styles
